,query,seed_keyword,competition,avg_cpc,1,2,3,4,5,6,7,8,9,10,11,12
85,eurostar réservation,train paris london,0.0,0.0,20,50,70,70,90,70,70,70,40,40,70,70
86,eurostar paris londres,train paris london,1.49,0.28,1300,4400,9900,27100,9900,9900,27100,9900,8100,8100,6600,8100
87,depart eurostar,train paris london,0.0,0.0,50,140,320,260,320,260,260,210,320,320,210,260
88,eurostar lille londres,train paris london,0.34,0.3,480,1000,1900,4400,2900,3600,3600,5400,1900,1900,2900,3600
89,train pour londres,train paris london,6.87,0.08,210,590,1300,1600,1600,1600,1900,1300,1300,1000,880,1000
90,horaires eurostar londres paris,train paris london,0.42,0.0,30,170,320,320,480,320,390,390,320,390,320,260
91,paris londres par train,train paris london,2.86,0.0,10,10,20,20,20,10,10,10,10,20,10,10
92,paris londres billet,train paris london,9.52,0.0,10,40,90,90,70,90,110,110,50,50,40,70
93,carte eurostar,train paris london,0.0,0.0,30,70,110,140,110,140,140,170,140,140,110,110
94,billet de train eurostar pas cher,train paris london,0.0,0.0,10,10,20,20,10,20,20,30,30,50,30,30
95,eurostar londres,train paris london,0.11,0.06,1600,2900,3600,4400,4400,5400,4400,2900,2400,2400,1900,2400
96,voyage eurostar,train paris london,0.41,0.0,30,90,40,50,30,40,30,90,40,40,30,50
97,aller retour londres,train paris london,4.22,0.19,40,210,480,720,720,720,880,720,590,480,390,480
98,reservation eurostar pas cher,train paris london,0.0,0.0,0,0,10,10,10,10,10,10,10,10,10,10
99,paris londres en bus pas cher,train paris london,0.0,0.0,0,10,10,10,20,20,20,10,10,10,10,10
100,billet pour londre,train paris london,15.67,0.13,30,70,140,170,260,260,260,170,170,140,110,110
101,reserver billet train,train paris london,20.35,0.19,320,880,1900,1900,1600,1900,2400,2400,2400,2400,2400,2400
102,paris londres en train pas cher,train paris london,0.0,0.0,0,10,20,20,10,20,40,30,30,30,20,20
103,paris londres train prix,train paris london,2.76,0.2,30,40,110,170,110,110,90,50,50,50,40,40
104,paris londres,train paris london,4.75,0.14,2400,9900,22200,27100,27100,33100,40500,27100,27100,22200,18100,22200
105,reservation train,train paris london,16.7,0.14,1900,5400,9900,12100,9900,9900,12100,12100,9900,9900,8100,8100
106,billet pour londres,train paris london,20.04,0.11,140,390,880,1300,1300,1000,1600,1000,880,720,590,720
107,train billet,train paris london,29.49,0.14,390,1300,2900,2400,2400,2900,3600,2900,2900,2900,2900,2900
108,train pour londre pas cher,train paris london,0.0,0.0,10,10,10,20,10,30,30,20,20,40,10,20
109,paris londres eurostar prix,train paris london,1.43,0.06,10,30,90,140,70,110,140,170,140,140,110,70
110,paris londres aller retour pas cher,train paris london,0.0,0.0,0,10,10,20,20,30,30,10,40,40,20,20
111,paris londres train eurostar,train paris london,0.0,0.0,10,20,10,20,70,70,40,20,20,30,30,10
112,billet eurostar londres paris,train paris london,4.49,0.06,30,40,50,70,30,70,40,50,90,90,70,70
113,tgv paris,train paris london,3.47,0.11,590,1900,2900,2900,2900,2900,3600,3600,2900,2900,2900,2900
114,achat billet eurostar,train paris london,3.43,0.04,20,20,70,50,40,50,70,50,50,50,40,40
115,trajet londres paris,train paris london,0.0,0.0,30,70,70,70,70,90,70,70,70,50,50,70
116,lyon londres train,train paris london,4.96,0.06,90,390,1000,1300,1000,1300,1600,1600,1300,1000,880,1000
117,tgv paris londres,train paris london,2.91,0.07,110,260,590,720,590,880,880,880,720,590,590,590
118,eurostar voiture,train paris london,0.0,0.0,140,260,480,480,480,480,480,390,480,390,320,320
119,aller retour londres paris,train paris london,2.38,0.0,10,10,50,50,30,50,50,30,30,20,20,50
120,billet train pour londre,train paris london,0.0,0.0,10,10,10,10,20,10,10,10,20,10,10,10
121,train paris londre pas cher,train paris london,57.14,0.0,10,20,70,50,30,40,70,50,40,30,30,20
122,eurostar depart,train paris london,0.0,0.0,70,110,140,170,210,140,140,90,110,140,110,140
123,paris londres par eurostar,train paris london,0.0,0.0,10,10,10,10,10,20,20,10,10,10,10,10
124,aller a londre en train,train paris london,0.0,0.0,20,40,70,90,70,90,30,70,110,50,50,50
125,train eurostar pas cher,train paris london,0.0,0.0,0,10,10,10,10,10,30,30,10,10,10,20
126,voyage paris londre,train paris london,2.04,0.09,10,10,10,20,10,20,30,20,20,10,10,20
127,billet train londre pas cher,train paris london,0.0,0.0,0,10,30,20,20,20,30,20,70,40,10,10
128,aller retour eurostar,train paris london,0.0,0.0,10,10,40,50,40,50,70,40,50,50,40,40
129,train de londres a paris,train paris london,0.0,0.0,10,20,20,10,20,10,10,10,10,10,10,10
130,billet de train londres,train paris london,7.97,0.07,90,210,590,720,720,880,880,720,590,480,390,480
131,billet train londres,train paris london,12.88,0.14,70,320,880,1000,880,1000,1000,880,720,590,590,590
132,voyage a londre pas cher en train,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
133,paris london pas cher,train paris london,0.0,0.0,10,10,20,20,10,20,40,20,20,30,10,10
134,acheter billet eurostar,train paris london,4.08,0.23,10,20,40,50,30,50,50,50,30,40,20,30
135,train pour paris,train paris london,6.71,0.12,720,1000,1600,1600,2400,1600,1900,1600,1600,1600,1300,1300
136,billet pour londre eurostar,train paris london,0.0,0.0,0,10,10,10,20,10,10,10,10,10,10,10
137,eurostar depart paris,train paris london,0.0,0.0,10,10,30,40,30,40,50,50,30,40,40,70
138,paris londres moins cher possible,train paris london,0.0,0.0,10,20,20,10,20,20,20,20,10,10,10,20
139,week end londres eurostar,train paris london,0.0,0.0,0,20,110,260,110,140,320,140,70,40,140,170
140,bus pas cher londres paris,train paris london,0.0,0.0,0,10,10,10,20,10,10,10,10,20,10,10
141,billet de train paris londres,train paris london,9.23,0.06,110,390,880,1000,880,1000,1000,880,880,720,720,720
142,londre en train pas cher,train paris london,0.0,0.04,10,10,10,10,10,10,20,20,20,10,10,10
143,train pour aller a londre,train paris london,4.08,0.11,10,10,30,40,20,20,40,40,20,20,10,20
144,eurostar trajet,train paris london,0.0,0.0,90,110,260,260,170,210,210,210,170,170,140,140
145,billet paris londres eurostar,train paris london,8.16,0.13,10,40,70,140,170,170,110,170,170,90,50,140
146,train angleterre,train paris london,0.52,0.0,210,480,880,1000,880,880,1000,880,880,1000,880,880
147,réserver eurostar,train paris london,0.0,0.0,10,10,20,30,20,30,30,20,20,20,10,20
148,paris londres paris eurostar,train paris london,0.0,0.0,0,10,10,10,10,10,20,10,10,10,10,10
149,train pas cher londres paris,train paris london,0.0,0.31,10,10,10,30,20,30,40,20,30,20,20,20
150,eurostar londres bruxelles,train paris london,0.0,0.0,10,30,50,40,50,40,50,40,40,40,50,20
151,reserver billet eurostar,train paris london,0.0,0.0,10,20,20,30,20,40,40,40,30,20,50,20
152,train paris londres pas cher,train paris london,8.01,0.12,40,210,590,480,480,590,880,590,720,590,480,590
153,tgv pour londre,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
154,train eurostar,train paris london,0.06,0.0,260,590,880,880,1300,880,1000,880,720,720,590,720
155,tgv londres,train paris london,0.27,0.1,50,140,320,390,390,480,590,480,480,390,320,320
156,ticket eurostar pas cher,train paris london,0.0,0.0,10,10,10,20,20,30,20,10,10,10,10,10
157,train lille londres,train paris london,2.5,0.06,110,390,880,1300,1300,1300,1600,1300,1300,1000,880,880
158,train londre pas cher,train paris london,0.0,0.0,0,10,30,30,20,40,30,30,20,20,10,20
159,billet pour aller a londre,train paris london,0.0,0.0,10,10,10,10,20,20,10,10,10,10,10,10
160,billet train,train paris london,24.82,0.17,6600,27100,49500,49500,40500,49500,60500,60500,60500,74000,60500,60500
161,billet eurostar pas cher londres paris,train paris london,0.0,0.0,0,0,0,10,10,10,10,10,10,10,0,10
162,achat billet sncf,train paris london,19.86,0.22,720,1900,3600,3600,2900,3600,4400,4400,4400,5400,4400,4400
163,lille londres train,train paris london,3.6,0.05,140,260,880,1300,1300,1600,1900,1600,1600,1000,880,720
164,billet train eurostar pas cher,train paris london,0.0,0.0,10,10,10,20,10,10,10,10,10,10,10,10
165,sncf londres,train paris london,0.65,0.13,20,90,260,390,260,320,480,480,320,320,260,260
166,billet bus londres paris,train paris london,0.0,0.0,10,10,10,10,20,10,20,20,40,30,20,20
167,train londre paris pas cher,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,20,10,10,10
168,transport londres paris,train paris london,45.24,0.79,10,20,10,10,10,10,10,10,10,10,10,10
169,billet paris londres pas cher,train paris london,13.66,0.0,20,90,320,480,480,590,720,480,390,390,390,480
170,train eurostar londres paris,train paris london,0.0,0.0,10,10,10,10,50,50,30,10,30,50,20,10
171,billet train paris londres,train paris london,6.4,0.07,70,260,720,720,590,720,880,720,590,590,480,480
172,voyage sncf eurostar,train paris london,0.0,0.0,10,10,10,10,10,10,20,10,10,10,10,10
173,billet de train pour londres,train paris london,24.26,0.09,50,110,390,390,480,480,590,480,390,390,260,320
174,londres train,train paris london,2.21,0.09,70,210,590,720,590,720,880,720,590,480,390,480
175,bruxelles londres train,train paris london,2.38,0.06,10,30,90,110,170,140,140,170,170,140,140,90
176,billet de train lille paris,train paris london,36.54,0.13,110,320,590,480,480,720,880,720,590,590,590,480
177,train londres pas cher,train paris london,0.0,0.0,10,30,140,140,140,140,170,140,90,90,70,90
178,resa eurostar,train paris london,0.0,0.0,10,20,20,40,40,40,40,40,30,30,30,30
179,billet de train paris,train paris london,13.54,0.11,210,480,880,1000,880,1000,1300,1000,1000,1000,880,880
180,comparateur de billet de train,train paris london,44.9,0.21,30,140,390,260,210,320,390,390,590,590,590,390
181,eurostar calais,train paris london,0.0,0.0,90,210,590,590,590,480,590,590,720,390,260,210
182,bus paris londre pas cher,train paris london,0.0,0.0,10,10,10,10,40,30,20,10,20,10,10,10
183,sncf paris londres,train paris london,1.97,0.0,30,110,320,390,260,390,390,480,320,390,320,320
184,marseille londres train,train paris london,1.73,0.06,70,140,390,480,480,590,720,720,590,480,320,390
185,aller retour paris londres,train paris london,1.86,0.07,50,140,390,390,320,480,590,390,390,260,260,320
186,paris londres autocar,train paris london,0.0,0.0,0,10,10,10,10,0,10,10,10,10,10,10
187,billet de train pour paris,train paris london,13.73,0.13,140,260,590,590,480,590,720,590,720,720,590,590
188,gare eurostar londres,train paris london,0.0,0.0,110,320,720,880,590,720,720,720,590,480,390,590
189,londre tgv,train paris london,0.0,0.0,10,10,20,10,10,30,30,40,30,20,10,20
