,query,seed_keyword,competition,avg_cpc,1,2,3,4,5,6,7,8,9,10,11,12
566,temps de trajet paris londres,train paris london,0.0,0.0,20,30,70,70,40,70,50,40,50,50,40,50
567,eurostar français,train paris london,0.0,0.0,10,10,10,10,10,10,0,10,10,10,10,10
568,acheter billet train angleterre,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,20,10
569,eurostar angleterre,train paris london,0.0,0.0,30,110,50,90,90,110,70,90,140,140,90,110
570,aller à londre en train,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
571,angleterre train,train paris london,0.0,0.0,10,40,70,70,70,70,70,70,50,50,50,50
572,sncf billet londres,train paris london,0.0,0.0,10,10,20,20,20,20,10,20,30,20,30,10
573,sncf eurostar tarif,train paris london,0.0,0.0,0,10,10,0,0,0,0,0,0,0,10,0
574,londres par eurostar,train paris london,0.0,0.0,10,10,20,10,10,10,10,20,10,10,10,20
575,eurostar prix paris londres,train paris london,0.0,0.0,10,10,10,70,40,20,10,20,20,40,30,30
576,eurostar horaires trains,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,0,10,10,10
577,tgv angleterre,train paris london,0.0,0.0,50,70,210,90,70,70,90,70,70,50,50,50
578,train pour angleterre,train paris london,0.0,0.0,20,30,40,50,70,40,50,40,50,50,30,40
579,tarif euro star,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
580,billet train pas cher paris londres,train paris london,0.0,0.12,10,30,20,20,10,20,40,20,20,30,20,30
581,billet tgv londres,train paris london,0.0,0.0,10,20,20,40,50,50,40,30,20,40,30,20
582,billet pour londres pas cher train,train paris london,0.0,0.0,0,10,20,20,10,10,0,0,10,10,10,10
583,londres billet eurostar,train paris london,14.29,0.03,10,10,30,30,40,30,50,20,10,20,10,10
584,prix paris londres en eurostar,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
585,sncf paris londres promo,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,20,20,20
586,paris londres train durée,train paris london,0.0,0.0,40,90,210,210,210,170,260,210,110,110,90,90
587,durée trajet paris londres eurostar,train paris london,0.0,0.0,20,50,170,170,140,110,140,110,170,140,110,110
588,ticket pour londre,train paris london,0.0,0.0,0,10,0,10,10,10,10,10,10,10,0,10
589,prix billet train paris londres,train paris london,5.71,0.14,10,10,20,30,20,20,20,30,20,10,10,20
590,eurostar arrivée avant,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
591,billet transport londres,train paris london,0.0,0.0,0,10,40,50,20,30,50,30,10,20,20,20
592,trajet eurostar bruxelles londres,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,0,10
593,train angleterre france,train paris london,0.26,0.0,50,70,110,110,70,50,140,140,90,110,50,90
594,france londre,train paris london,0.0,0.0,20,50,40,50,50,50,70,40,20,40,20,30
595,train de londres,train paris london,0.0,0.0,40,50,30,50,40,40,50,40,30,10,10,20
596,partir a londres en train,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
597,billet paris londres pas cher train,train paris london,0.0,0.0,10,10,10,10,10,20,20,40,30,10,20,10
598,train paris londres promo,train paris london,0.0,0.0,0,10,10,10,10,10,30,10,10,10,10,10
599,l eurostar,train paris london,0.0,0.0,390,480,590,880,720,720,720,480,480,390,320,720
600,londres billet de train,train paris london,9.52,0.0,10,20,90,40,40,50,70,30,30,30,10,20
601,eurostar londres paris horaires,train paris london,0.0,0.0,50,210,260,170,170,320,320,170,170,320,320,170
602,train pour aller a paris,train paris london,6.9,0.1,30,30,50,40,70,70,70,70,50,40,40,30
603,voyage train londres,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
604,billets sncf londres pas cher,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
605,durée trajet paris londres,train paris london,0.0,0.0,10,40,90,110,40,50,90,50,70,50,40,40
606,promo londres paris,train paris london,0.0,0.0,0,0,10,10,10,10,10,10,10,10,10,10
607,ticket paris londres,train paris london,21.43,0.0,10,10,20,30,30,20,30,30,20,20,30,20
608,durée paris londres eurostar,train paris london,0.0,0.0,30,50,170,170,140,140,260,170,140,170,140,170
609,prix aller retour paris londres,train paris london,0.0,0.0,10,10,30,20,20,20,10,10,10,10,10,20
610,carte trajet eurostar,train paris london,0.0,0.0,10,10,10,10,10,10,20,10,10,10,0,10
611,voyage à londres en train,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
612,reservation eurostar paris londres,train paris london,0.0,0.08,10,10,10,10,10,0,10,10,10,10,10,10
613,prix du billet eurostar paris londres,train paris london,0.0,0.0,10,10,10,20,10,10,20,10,30,30,20,20
614,gare du nord londres eurostar,train paris london,2.86,0.06,10,10,30,50,50,70,50,30,20,20,20,10
615,paris londres eurostar durée,train paris london,0.0,0.0,30,50,210,170,260,320,320,210,110,110,110,110
616,eurostar paris londres durée,train paris london,0.36,0.0,40,50,90,110,110,110,140,110,140,110,70,90
617,durée eurostar paris londres,train paris london,0.0,0.0,30,90,260,260,170,210,320,320,260,210,140,140
618,londres par train,train paris london,0.0,0.0,10,10,10,10,10,10,20,10,20,10,10,10
619,billet de train angleterre pas cher,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,30,10,10,10
620,train pour aller en angleterre,train paris london,0.62,0.0,20,30,50,50,70,90,90,70,70,50,50,50
621,billet train pas cher pour londres,train paris london,0.0,0.0,0,10,10,10,10,10,20,10,10,20,10,10
622,sncf eurostar billet,train paris london,0.0,0.0,0,0,10,0,10,0,0,10,10,0,10,0
623,prix eurostar pour londres,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
624,sncf londres train,train paris london,0.0,0.0,0,0,0,10,0,0,0,10,10,10,10,0
625,partir à londres en train,train paris london,0.0,0.0,10,10,20,20,20,20,20,20,20,10,10,20
626,billet pas cher paris londres eurostar,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
627,ar paris londres,train paris london,0.0,0.0,0,10,10,10,10,20,20,20,10,20,10,10
628,train paris angleterre,train paris london,4.57,0.17,20,40,90,70,50,110,70,90,70,70,70,70
629,londres par le train,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
630,tgv paris londres prix,train paris london,1.79,0.0,10,10,20,20,20,20,70,70,40,10,10,10
631,thalys pour londres,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
632,durée trajet eurostar,train paris london,0.0,0.0,20,70,170,140,90,140,170,140,210,210,170,210
633,durée eurostar,train paris london,0.0,0.0,30,90,210,210,140,170,210,210,260,320,260,320
634,aller à londres en eurostar,train paris london,0.0,0.0,10,10,20,20,20,10,30,20,20,10,10,10
635,trajet paris londres train,train paris london,0.0,0.0,10,10,50,20,20,20,30,20,20,20,10,10
636,eurostar billet paris londres,train paris london,3.9,0.06,10,70,50,90,40,40,50,110,30,30,20,40
637,paris londrès,train paris london,0.0,0.0,0,0,0,10,0,10,10,0,10,0,0,0
638,train paris londres prix,train paris london,2.04,0.0,10,10,50,110,90,90,30,70,70,50,30,70
639,eurostar quelle gare paris,train paris london,0.0,0.0,10,10,20,10,10,10,10,20,10,10,10,10
640,billet angleterre train,train paris london,7.14,0.12,10,20,20,30,30,30,40,30,40,40,40,50
641,eurostar londres calais,train paris london,0.0,0.0,10,30,40,20,30,20,30,20,30,30,10,40
642,horaire train paris londres,train paris london,1.43,0.0,10,20,40,30,30,30,50,40,50,40,40,40
643,sncf paris london,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,20,10
644,billet paris train,train paris london,7.14,0.12,10,30,50,50,50,70,70,50,70,70,70,70
645,tarif sncf eurostar,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
646,voyage sncf paris londres,train paris london,0.0,0.0,10,10,20,10,10,10,10,10,10,10,10,10
647,aller et retour londres,train paris london,0.0,0.0,10,0,10,10,10,10,10,10,0,10,0,10
648,prix tgv paris londres,train paris london,0.0,0.0,10,10,20,10,10,10,20,10,10,10,10,10
649,sncf eurostar londres paris,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,0
650,train hotel paris londres pas cher,train paris london,0.0,0.0,0,0,10,0,10,10,10,10,0,10,0,10
651,eurostar londres paris prix,train paris london,0.0,0.0,10,30,40,30,10,20,30,10,30,20,20,20
652,train paris london pas cher,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,20,20,10,10
653,londres billet train,train paris london,7.79,0.14,10,20,20,20,30,30,30,20,20,20,20,20
654,eurostar en francais,train paris london,0.0,0.0,10,10,0,10,10,10,10,10,10,10,10,10
655,prix billet de train paris londres,train paris london,3.9,0.07,10,10,30,10,10,20,10,10,20,20,20,30
656,reservation eurostar bruxelles londres,train paris london,0.0,0.0,0,10,0,10,10,10,10,10,0,10,0,0
657,aller à londres en train pas cher,train paris london,0.0,0.0,10,10,10,10,10,30,20,10,10,10,10,10
658,billet sncf londres,train paris london,0.0,0.0,10,10,10,20,10,10,20,20,10,20,20,20
659,londres calais eurostar,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,30,30,10,20
660,angleterre en train,train paris london,0.0,0.0,10,10,20,30,20,20,30,30,20,30,20,30
661,reservation paris londres eurostar,train paris london,0.0,5.43,10,10,10,10,10,10,10,10,10,10,10,10
662,tarifs eurostar pour londres,train paris london,0.0,0.0,10,10,40,10,10,10,10,10,10,10,10,0
663,billet pour londres train,train paris london,14.29,0.11,10,10,20,90,70,30,20,10,40,20,10,10
664,billets de train pas cher londres,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,0,10,10
665,aller retour paris londres pas cher train,train paris london,0.0,0.0,0,0,0,0,10,0,0,10,10,0,10,0
666,partir a londres pas cher en train,train paris london,0.0,0.0,0,0,0,0,0,0,10,10,0,10,0,0
667,eurostar paris londres temps,train paris london,0.0,0.0,50,110,320,320,140,260,390,260,260,260,210,260
668,prix eurostar aller retour,train paris london,0.0,0.0,10,10,10,10,20,10,10,10,20,10,10,10
669,réservation eurostar paris londres,train paris london,3.57,0.0,10,40,30,30,40,50,110,90,50,30,40,10
670,go voyage eurostar,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
671,se rendre à londres en train,train paris london,0.0,0.0,0,0,10,10,10,10,10,10,10,10,10,10
672,billet train paris londres aller retour pas cher,train paris london,0.0,0.12,10,10,10,30,20,30,20,10,20,20,10,10
673,comment aller à londres en train,train paris london,0.0,0.0,10,10,20,30,20,40,40,40,20,20,30,30
674,france londres train,train paris london,1.79,0.0,10,10,30,30,30,40,50,40,40,40,10,20
675,durée du trajet paris londres en eurostar,train paris london,0.0,0.0,10,10,20,10,20,20,40,30,10,30,20,20
676,londres paris sncf,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
677,trajet pour londres,train paris london,0.0,0.0,10,10,10,10,20,30,20,20,10,10,10,10
678,billet de train pas cher pour londres aller retour,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,20,10,10,10
679,eurostar horaires et tarifs,train paris london,0.0,0.0,0,10,10,0,10,0,10,0,0,0,10,10
680,eurostar combien de temps avant,train paris london,0.0,0.0,10,70,140,70,140,260,320,210,210,210,170,140
681,de paris a londres en train,train paris london,0.0,0.06,10,10,10,10,10,10,20,10,10,10,10,10
682,reservation train londres,train paris london,0.0,0.0,0,10,20,20,20,20,30,20,20,20,10,10
683,billet london paris,train paris london,0.0,0.0,10,10,10,10,10,10,0,10,10,10,10,10
684,billet train en angleterre,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
685,billet de train pour londre pas cher,train paris london,0.0,0.11,10,10,20,20,20,10,10,10,10,10,10,10
686,shuttle pour londres,train paris london,0.0,0.0,10,10,10,10,30,20,20,10,10,10,10,10
687,londre billet de train,train paris london,1.59,0.0,10,10,30,30,40,10,20,10,20,10,10,10
688,train eurostar londres,train paris london,0.71,0.0,20,40,70,70,90,90,90,40,30,20,40,40
689,billet eurostar pour londres,train paris london,0.0,0.0,10,10,10,20,10,20,20,20,20,30,20,30
690,train pour aller à londres,train paris london,0.0,0.0,10,10,20,30,30,20,50,40,30,20,30,20
691,tarif londres paris eurostar,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
692,tarif aller retour eurostar,train paris london,0.0,0.0,0,10,0,10,10,10,10,10,10,10,10,10
693,euro star londre,train paris london,0.0,0.0,0,50,170,70,140,170,140,10,30,30,10,10
694,france angleterre train,train paris london,0.0,0.0,20,40,50,40,40,50,50,50,50,50,40,50
695,londres en tgv,train paris london,0.0,0.0,0,10,10,20,10,10,20,10,10,10,10,10
696,voyage pour londres en eurostar,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
697,partir a londres en train pas cher,train paris london,0.0,0.0,0,0,10,10,0,0,10,10,10,10,0,10
698,paris londres novembre,train paris london,0.0,0.0,0,0,0,0,0,10,10,10,10,10,10,10
699,trains en angleterre,train paris london,0.0,0.0,10,10,10,10,10,20,10,20,20,10,10,10
700,paris lyon,train paris lyon,6.61,0.37,5400,49500,60500,14800,18100,18100,18100,40500,18100,18100,18100,18100
701,tgv paris lyon,train paris lyon,6.01,0.11,1600,3600,4400,4400,5400,4400,5400,4400,3600,4400,4400,4400
702,billet de train paris lyon,train paris lyon,35.47,0.12,210,720,1000,1000,880,1000,1600,1000,1300,1600,1300,1300
703,lyon paris pas cher,train paris lyon,49.29,0.13,40,210,720,480,880,880,1300,880,1000,880,1000,880
704,billet paris lyon,train paris lyon,29.47,0.16,210,590,1000,880,880,1000,1000,1000,880,1000,1000,880
705,lyon paris tgv,train paris lyon,8.01,0.12,480,880,1900,1600,1600,1600,2400,2400,2400,1900,1900,1600
706,sncf paris lyon,train paris lyon,4.13,0.14,320,880,1000,1300,1300,1000,1600,1300,880,1300,1300,1300
707,billet tgv paris lyon,train paris lyon,50.51,0.11,50,260,590,590,480,480,590,480,390,590,480,590
708,billet train paris lyon,train paris lyon,20.69,0.12,140,480,720,720,590,720,880,720,720,880,880,720
709,tgv lyon,train paris lyon,3.96,0.1,210,480,1000,880,720,1000,1300,1000,880,1000,880,880
710,train pas cher paris lyon,train paris lyon,31.43,0.17,10,40,90,70,70,110,210,170,140,90,110,110
711,billet de train pas cher paris lyon,train paris lyon,34.69,0.14,10,30,140,90,50,110,210,110,140,140,110,90
712,train pour lyon,train paris lyon,8.84,0.08,140,320,390,390,480,390,480,390,320,390,320,260
713,billet pas cher paris lyon,train paris lyon,32.65,0.16,10,50,110,50,90,70,140,90,90,110,110,110
714,lyon tgv,train paris lyon,1.84,0.06,30,110,260,390,210,260,320,260,320,320,260,320
715,billet de train pour lyon,train paris lyon,21.85,0.1,50,90,170,210,170,210,260,260,210,210,210,170
716,billet pour lyon,train paris lyon,13.39,0.09,30,70,140,140,140,140,140,110,110,110,140,90
717,prix tgv paris lyon,train paris lyon,15.18,0.09,20,40,70,50,50,90,90,90,110,90,70,70
718,trajet paris lyon,train paris lyon,4.81,1.01,170,320,590,480,590,390,590,390,390,480,480,390
719,aller retour paris lyon,train paris lyon,10.08,0.29,20,70,110,70,90,110,140,170,110,110,110,110
720,billet sncf paris lyon,train paris lyon,9.44,0.19,50,90,140,390,260,260,210,320,210,260,210,260
721,lyon paris train,train paris lyon,10.68,0.13,880,1600,3600,2900,2900,2900,3600,2900,2900,2900,2400,2400
722,tgv pas cher paris lyon,train paris lyon,57.14,0.09,10,20,40,30,10,40,70,50,70,70,90,50
723,billet train pas cher paris lyon,train paris lyon,14.29,0.15,10,10,50,30,20,30,50,40,20,50,50,70
724,transport paris lyon,train paris lyon,85.71,1.18,50,110,90,90,110,140,90,90,70,90,90,90
725,billet de tgv paris lyon,train paris lyon,46.67,0.16,10,40,90,70,70,90,90,70,70,50,70,70
726,tgv gare de lyon,train paris lyon,0.72,0.0,170,390,590,480,880,480,880,480,590,720,590,480
727,tarif tgv paris lyon,train paris lyon,8.57,0.12,10,30,50,50,30,40,40,50,50,70,50,50
728,paris a lyon,train paris lyon,3.87,0.15,50,70,140,70,140,110,140,170,140,140,140,140
729,lyon paris sncf,train paris lyon,2.27,0.06,70,140,320,260,320,260,390,480,320,320,390,320
730,voyage paris lyon,train paris lyon,15.0,0.13,20,20,30,10,40,30,20,20,20,40,30,30
731,tgv bruxelles lyon,train paris lyon,9.05,0.07,30,90,140,140,210,140,170,260,170,140,170,110
732,lyon train,train paris lyon,4.96,0.17,70,170,320,320,260,390,320,390,320,390,390,320
733,de paris a lyon,train paris lyon,2.1,0.0,70,50,90,70,90,70,70,70,90,90,70,50
734,train paris lyon part dieu,train paris lyon,19.43,0.21,20,50,90,90,90,90,90,260,140,170,90,70
735,lyon paris train pas cher,train paris lyon,80.95,0.1,10,30,140,110,110,140,210,170,170,140,110,110
736,billet de train lyon,train paris lyon,28.57,0.13,40,140,260,210,210,320,320,260,320,260,260,260
737,paris lyon pas cher,train paris lyon,34.48,0.14,50,320,720,590,880,880,1300,1000,1000,1600,1300,1300
738,billet train lyon,train paris lyon,17.75,0.11,30,110,260,260,170,210,260,260,210,210,210,210
739,train pour lyon pas cher,train paris lyon,7.14,0.0,10,10,10,20,30,20,30,30,50,50,50,20
740,lyon pas cher,train paris lyon,7.14,0.08,10,30,50,50,50,40,50,50,90,70,40,50
741,train lyon,train paris lyon,9.17,0.07,260,720,1300,1300,1300,1600,1600,1600,1000,1300,1000,1300
742,train gare de lyon,train paris lyon,1.21,0.05,210,720,1600,1000,1600,880,1300,880,880,1000,1000,880
743,paris lyon part dieu,train paris lyon,10.71,0.06,40,140,170,140,140,210,260,210,210,260,210,170
744,bus paris lyon,train paris lyon,6.83,0.15,320,1000,1600,1300,5400,2900,2900,1900,1600,2400,2400,1900
745,sncf lyon,train paris lyon,11.22,0.1,1600,2900,4400,5400,5400,4400,4400,3600,2400,2900,1900,2400
746,lyon paris en train,train paris lyon,2.11,0.12,70,90,140,140,110,110,170,170,140,110,140,140
747,pari lyon,train paris lyon,18.75,1.57,20,90,110,20,30,30,30,140,20,30,20,40
748,billet de train pas cher pour lyon,train paris lyon,0.0,0.09,0,10,30,10,20,10,20,20,20,20,20,20
749,prix train paris lyon,train paris lyon,7.94,0.08,10,20,20,30,30,40,40,50,50,50,30,40
750,gare de lyon tgv,train paris lyon,0.0,0.0,110,260,480,320,390,320,390,320,320,480,480,320
751,billet pas cher lyon,train paris lyon,3.57,0.08,10,10,70,70,50,50,70,50,50,50,70,50
752,paris bordeaux,train paris lyon,9.26,0.34,6600,12100,40500,14800,18100,14800,22200,33100,22200,27100,22200,22200
753,train marseille paris,train paris lyon,6.04,0.08,1900,3600,5400,5400,6600,6600,8100,6600,6600,5400,5400,4400
754,train paris rome,train paris lyon,23.32,0.2,260,390,1900,1900,1300,1600,1900,1900,1900,1900,1600,1600
755,idtgv lyon,train paris lyon,0.0,0.0,0,0,10,10,10,10,10,10,10,10,10,10
756,billet tgv pas cher paris lyon,train paris lyon,0.0,0.0,0,10,10,10,10,10,10,10,10,20,20,10
757,horaire train paris lyon part dieu,train paris lyon,3.57,0.06,10,20,30,20,10,40,70,110,40,90,110,90
758,sncf train paris lyon,train paris lyon,6.72,0.06,20,50,70,70,110,70,110,50,30,70,50,70
759,train paris berlin,train paris lyon,3.88,0.08,590,1000,2400,2900,2400,2900,3600,2900,2400,2400,2400,2400
760,train paris bruxelles,train paris lyon,3.31,0.27,2900,5400,8100,8100,6600,8100,9900,8100,6600,6600,6600,8100
761,paris de lyon,train paris lyon,2.38,0.0,10,50,30,40,50,40,50,40,50,50,50,50
762,train nice paris,train paris lyon,10.17,0.12,1000,1900,2400,2400,2400,2400,3600,2900,4400,2900,2900,2400
763,billet de train paris marseille,train paris lyon,20.43,0.09,720,1000,1900,1600,1300,1600,1900,1600,2900,3600,2400,1600
764,tarif train paris lyon,train paris lyon,3.17,0.0,10,10,20,20,10,10,30,20,20,20,10,20
765,train paris montpellier,train paris lyon,6.39,0.08,1300,2900,3600,3600,3600,3600,4400,4400,4400,5400,4400,3600
766,train paris londres,train paris lyon,2.44,0.06,720,2900,6600,8100,6600,8100,9900,6600,5400,5400,4400,5400
767,train paris toulouse,train paris lyon,12.29,0.11,1900,4400,5400,4400,4400,5400,6600,5400,5400,6600,6600,5400
768,gare de paris lyon,train paris lyon,0.12,0.0,110,210,320,210,320,260,320,210,260,260,260,170
769,train paris nice,train paris lyon,9.98,0.08,1600,2900,3600,2900,2400,2900,3600,3600,5400,5400,4400,4400
770,train paris amsterdam,train paris lyon,3.08,0.06,880,3600,9900,9900,8100,8100,9900,8100,6600,6600,5400,6600
771,train de paris a lyon,train paris lyon,6.35,0.0,10,30,30,30,50,40,40,30,40,40,30,20
772,train paris marseille,train paris lyon,8.08,0.15,2900,5400,6600,5400,5400,4400,6600,6600,8100,9900,8100,5400
773,sncf tgv paris lyon,train paris lyon,4.87,0.07,40,110,140,170,260,170,210,210,170,170,170,210
774,train tgv paris lyon,train paris lyon,8.57,0.18,20,50,70,90,110,50,110,40,50,70,50,70
775,paris nice train,train paris lyon,10.35,0.07,1900,3600,5400,4400,2400,2900,4400,4400,6600,8100,6600,5400
776,prix billet tgv paris lyon,train paris lyon,23.81,0.07,10,10,20,20,10,20,20,30,10,20,30,20
777,train lyon paris,train paris lyon,9.9,0.14,1900,4400,6600,6600,8100,6600,8100,6600,5400,5400,6600,5400
778,horaire train paris lyon,train paris lyon,2.56,0.05,40,140,260,320,170,320,390,480,260,320,390,320
779,train paris barcelone,train paris lyon,4.93,0.08,590,1600,4400,2900,2400,2400,2900,2900,4400,5400,4400,4400
780,tgv sncf paris lyon,train paris lyon,12.24,0.09,10,30,40,30,70,70,90,70,40,50,70,70
781,prix billet paris lyon,train paris lyon,2.86,0.03,10,10,40,30,10,20,20,40,40,40,40,20
782,lyon paris,train paris lyon,3.59,0.16,4400,49500,27100,9900,14800,14800,14800,74000,14800,9900,9900,9900
783,paris lyon tgv,train paris lyon,11.93,0.1,1300,2400,4400,3600,2900,4400,4400,4400,3600,3600,3600,3600
784,train paris bordeaux,train paris lyon,9.73,0.18,2400,5400,6600,6600,6600,6600,9900,8100,6600,8100,8100,6600
785,tgv paris lyon part dieu,train paris lyon,5.42,0.06,30,40,30,70,30,50,110,140,110,110,90,70
786,tgv lyon paris,train paris lyon,10.33,0.1,1600,3600,6600,6600,8100,6600,9900,8100,5400,5400,6600,5400
787,train paris nantes,train paris lyon,6.84,0.08,1000,3600,3600,3600,3600,3600,5400,4400,3600,4400,4400,3600
788,tarif paris lyon,train paris lyon,5.71,0.73,10,20,30,20,10,20,20,30,20,20,20,20
789,paris bordeaux train,train paris lyon,11.33,0.15,1000,2400,3600,2900,2900,2900,4400,4400,4400,5400,4400,4400
790,paris lyon train,train paris lyon,7.73,0.11,880,1900,3600,3600,2900,2900,3600,3600,2900,2900,2900,2900
791,prix billet de train paris lyon,train paris lyon,3.17,0.0,10,10,20,20,10,20,10,10,30,20,30,20
792,train paris lille,train paris lyon,13.55,0.23,1000,2900,4400,5400,4400,5400,6600,5400,5400,4400,5400,4400
793,paris lyon perrache,train paris lyon,16.19,0.17,10,90,140,110,70,140,170,210,140,170,210,140
794,train paris geneve,train paris lyon,5.79,0.3,480,1300,2400,2400,2400,1900,2400,1900,1900,2400,1900,1600
795,lyon paris tgv pas cher,train paris lyon,0.0,0.0,10,20,50,10,10,20,30,30,20,10,20,40
796,train paris strasbourg,train paris lyon,9.73,0.13,720,2900,2900,2900,4400,5400,5400,4400,2900,2900,2900,2900
797,paris gare du lyon,train paris lyon,0.0,0.0,10,20,70,50,50,40,50,70,90,90,50,50
798,billet pas cher pour lyon,train paris lyon,100.0,0.09,10,10,20,20,10,20,20,20,40,20,40,20
799,partir à lyon pas cher,train paris lyon,85.71,0.09,10,10,10,10,10,10,10,10,10,10,10,10
800,billet de train marseille paris,train paris lyon,19.49,0.13,390,720,1600,1600,1600,1600,2400,1600,2400,1600,1300,1300
801,paris to lyon train,train paris lyon,2.81,0.12,50,260,590,480,590,590,1000,1000,880,1900,1600,880
802,lyon paris distance,train paris lyon,0.01,0.0,880,1300,1900,1900,1900,1600,1600,1600,2400,1900,1600,1600
803,train paris rennes,train paris lyon,7.92,0.1,880,2900,2900,2900,2900,3600,4400,3600,2900,3600,3600,3600
804,billet de train paris lyon part dieu,train paris lyon,100.0,0.08,10,10,20,10,20,10,20,20,20,40,30,20
805,train paris milan,train paris lyon,37.81,0.24,480,880,2400,1900,1600,1900,2400,1900,2400,3600,1900,1900
806,aller à lyon,train paris lyon,0.15,0.0,170,390,590,590,720,720,720,720,880,720,590,480
807,tgv paris marseille,train paris lyon,6.62,0.09,2400,3600,4400,4400,4400,3600,5400,4400,5400,6600,5400,4400
808,train paris rouen,train paris lyon,12.61,0.13,1000,2400,3600,3600,3600,4400,4400,4400,3600,3600,4400,3600
809,ouigo paris lyon,train paris lyon,27.31,0.05,880,3600,6600,6600,5400,8100,12100,12100,8100,6600,12100,12100
810,lyon paris pas cher tgv,train paris lyon,0.0,0.0,0,0,10,0,10,10,10,10,10,10,10,0
811,billet train pour lyon,train paris lyon,7.14,0.13,10,10,20,20,20,20,20,20,30,30,20,20
812,sncf billet paris lyon,train paris lyon,0.0,0.28,10,10,30,30,20,30,30,30,50,20,50,30
813,train sncf paris lyon,train paris lyon,5.1,0.08,30,70,70,70,110,70,70,50,50,50,50,50
814,trajet tgv paris lyon,train paris lyon,2.86,0.0,10,50,50,30,50,40,50,40,50,40,30,30
815,billet de train lyon paris,train paris lyon,19.29,0.11,320,720,1600,1300,1300,1300,1600,1300,1300,1300,1300,1000
816,paris à lyon,train paris lyon,4.76,0.19,30,40,50,70,70,70,70,50,70,70,50,50
817,tgv de paris a lyon,train paris lyon,8.16,0.0,10,10,10,10,10,10,10,10,10,10,10,10
818,aller à lyon pas cher,train paris lyon,0.0,0.0,10,20,50,30,20,40,40,30,50,50,40,50
819,billet aller retour paris lyon,train paris lyon,0.0,0.11,0,10,10,10,20,20,40,20,20,20,20,20
820,lyon billet,train paris lyon,0.0,0.0,10,30,110,70,140,50,50,70,90,20,20,30
821,billet pas cher tgv paris lyon,train paris lyon,100.0,0.08,10,10,10,0,10,10,10,10,10,20,10,10
822,sncf billets pas chers paris lyon,train paris lyon,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
823,billet de train paris bordeaux,train paris lyon,24.75,0.09,260,590,1000,880,880,1000,1300,1300,1300,1600,1300,1000
824,gare paris lyon,train paris lyon,0.13,0.0,110,210,260,210,320,260,320,170,260,260,170,170
825,train paris,train paris lyon,4.04,0.11,1000,3600,5400,5400,6600,5400,6600,5400,4400,5400,4400,4400
826,paris to lyon,train paris lyon,3.71,0.17,110,320,720,720,880,720,1000,880,880,1300,1000,880
827,train paris perpignan,train paris lyon,9.22,0.06,880,1600,1600,1600,1300,1600,2400,1600,2900,3600,2900,2400
828,paris marseille,train paris lyon,7.45,0.32,9900,18100,22200,22200,22200,22200,301000,22200,33100,33100,27100,22200
829,lyon en train,train paris lyon,7.14,0.07,10,20,50,50,30,50,50,50,50,50,50,50
830,prix billet train paris lyon,train paris lyon,4.08,0.23,10,10,10,20,10,20,20,20,20,30,20,20
831,train moins cher paris lyon,train paris lyon,0.0,0.22,0,10,10,10,10,10,20,20,10,30,30,20
832,lyon paris tgv prix,train paris lyon,5.71,0.06,10,10,20,30,50,50,50,50,30,50,50,50
833,lyon to paris,train paris lyon,4.76,0.15,110,320,590,590,590,480,720,720,720,880,880,720
834,train paris caen,train paris lyon,11.31,0.09,590,1900,2400,2400,2400,2400,2900,2900,2400,2900,3600,2400
835,tgv pour lyon,train paris lyon,1.79,0.12,40,40,70,50,140,50,90,50,50,50,50,40
